PRODUCT_NUM                     ,DEPARTMENT                ,COMMODITY                 ,BRAND_TY,NATURAL_ORGANIC_FLAG
07047464                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00093991                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00100578                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00105492                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00105608                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00105611                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00206021                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00206045                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00206077                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00206087                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00206093                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00206318                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00206321                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00206424                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00206426                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00249575                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00253305                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00306335                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00306336                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00306370                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00306422                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00306437                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00306509                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00306514                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00306530                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00306538                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00306560                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00306659                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00306714                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00306738                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00306754                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00351979                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00393050                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00400758                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00431687                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00431744                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00432234                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00432455                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00439309                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00514017                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00514019                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00514038                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00514039                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00638686                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00709022                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00721774                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00732179                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00732222                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00766800                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00766915                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00766930                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00766932                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00766934                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00766976                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00766986                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00766992                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767008                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767012                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767019                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767145                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767210                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767220                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767367                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767368                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767376                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
